pid,date,condition,condition_number,phase,session_duration,complete,approvals,age,sex,ethnic,nation,OS,frameRate,trees,fruits,n_low_consumed,n_hi_consumed,textbox.text,trialCount,use_master_forest,redistribute_fruit,mouse.time,high_fruit
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,8,8,Yes they were clear enough Type here ...,9,TRUE,FALSE,"[0.668199999988019,1.562899999976139,4.240799999982073,5.87789999997608,8.706699999988018,10.666799999982118,13.43109999999399,14.00109999999404,14.357899999976098,17.212499999999977,20.06499999999994,20.871599999994032,22.71189999997614,25.50229999998203,27.279399999976135,29.95159999999396,30.27389999997615,32.0327999999821,34.05749999999989,34.93309999999394,37.85139999997614,38.768299999982105,39.836199999988025,40.404399999976135,43.133299999982114,43.6722999999821]",apple
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,8,8,Yes they were clear enough Type here ...,10,TRUE,FALSE,"[0.9385999999940395,1.733800000011911,4.37680000001194,6.261699999988082,6.729599999994093,9.707800000011957,12.004099999994082,14.743000000000052,15.245499999999993,17.976900000006026,20.72659999999405,21.605000000000018,23.4840999999941,23.7416999999881,26.633400000005963,28.556500000000028,30.545000000000073,32.47390000000598,34.64350000000002,34.94240000000593,35.441099999994094,38.36209999999403,39.28250000000003,40.27269999998805,40.85919999998805,43.59350000000006,45.434300000011945]",apple
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,5,9,Yes they were clearType here ...,1,TRUE,FALSE,"[1.4593000000007237,2.6414999999999793,3.5164999999999793,4.309300000000746,5.3870000000000005,6.270200000001097,7.0820999999996275,8.206300000000738,9.060099999999608,9.129900000000362,9.278800000000729,9.393,9.639700000001113,10.494700000001103,11.324900000000355,14.323599999999601,14.860500000000002,17.734599999999602,18.248200000001106,21.23940000000036,21.309200000001113,21.4015,21.8302000000011,24.822700000001106,26.03049999999999,27.513499999999993,27.619999999999976,27.970999999999975,28.661900000000372,29.524999999999977,30.433900000000364,30.991300000000734,34.010700000001094,34.274099999999606,37.472099999999614,38.3697000000011,40.54920000000109,41.399200000001116,43.330599999999606,45.1402000000011,45.5692000000011,47.484200000001096,49.34990000000036,50.10640000000035,53.07080000000073,55.95940000000036,56.26120000000111,56.38790000000037]",banana
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,8,8,Yes they were clearType here ...,2,TRUE,FALSE,"[1.3317999999988785,2.234999999999985,4.288799999998872,6.1080999999996095,7.955400000000367,10.794599999999605,11.846400000000358,12.721400000000358,12.80529999999888,15.796900000000363,15.876499999999993,16.827400000000353,18.691900000000373,19.807499999999976,21.661099999999607,24.595999999999975,27.281999999999982,30.19769999999923,30.25479999999888,33.197299999998876,33.99929999999887,34.913099999999616,35.27359999999962,35.621999999999986,37.514599999999604,37.692699999999235,39.76379999999887,40.54279999999886,41.14879999999886,41.522400000000374,41.994999999999976,42.90919999999923,44.84309999999962,44.902499999999975,45.54569999999924,48.25629999999887,49.07329999999888]",banana
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,7,9,Yes they were clearType here ...,3,TRUE,FALSE,"[1.178199999999265,2.966199999999276,4.9435999999996625,7.652000000000044,8.532500000000027,11.233099999999638,14.074599999999634,16.01709999999963,16.419099999999673,18.15609999999964,20.921500000000037,22.66119999999927,23.462000000000046,24.24619999999925,25.008299999998883,25.586799999998902,28.485099999999647,29.29879999999889,32.08179999999891,34.940699999999254,35.031499999999994,37.078400000000386,38.045000000000016,38.10919999999925,39.93359999999967,43.070299999998895,45.87979999999891]",banana
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,6,9,Yes they were clearType here ...,4,TRUE,FALSE,"[1.1382000000011203,2.1164000000003966,2.9675999999996634,4.746400000000392,7.4074000000003934,9.50509999999963,10.164599999999666,10.489000000000033,10.667500000000018,13.347800000000746,15.987300000000744,18.84020000000112,20.741400000000397,23.323200000001123,25.061000000000035,27.778999999999996,28.880900000000395,30.698800000000745,33.48930000000075,34.29290000000037,35.04370000000114,36.72640000000041,37.66720000000112,40.461200000001156]",banana
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,7,9,Yes they were clearType here ...,5,TRUE,FALSE,"[0.8170000000000073,1.6897000000010962,4.525900000000377,5.347700000001112,6.243300000000772,6.953200000001118,7.544100000001492,9.2857000000011,11.918200000001093,12.368300000000772,14.219200000001138,14.333000000000027,15.28060000000147,16.158300000000736,18.050400000000366,18.541100000001506,20.499600000001465,21.357500000000016,22.083200000001113,24.809600000001467,25.269100000001515,27.048800000000767,27.88020000000114,30.642700000001128,32.567999999999984,35.69499999999999,38.37790000000035,39.2269000000004,41.00230000000073,42.00600000000003,42.8519000000004,43.63220000000109,46.48290000000037,46.684300000000746,49.66050000000001,49.73320000000115]",banana
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,6,9,Yes they were clearType here ...,6,TRUE,FALSE,"[1.2671000000014487,3.053800000000706,4.994800000000737,5.87960000000146,8.769100000001458,11.63780000000071,14.5862000000011,16.580300000000705,19.443900000000383,20.54110000000145,21.413900000000353,23.10050000000001,23.91890000000035,24.00610000000148,24.780200000001116,25.48720000000111,28.33770000000112,29.257600000001503,32.02190000000036,34.76430000000073,36.84699999999998,38.61310000000145,41.456999999999994]",banana
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,6,9,Yes they were clearType here ...,7,TRUE,FALSE,"[0.8313000000007378,1.5238000000007332,4.188300000000709,5.038000000000011,5.801400000000342,6.41919999999925,8.374199999999234,9.40409999999963,12.189199999999232,14.011300000000745,16.706300000000738,19.346300000000724,22.053300000000718,22.864400000000387,22.99059999999963,24.890800000000752,26.733300000000725,27.57190000000037,30.464800000000707,33.28680000000071,34.05409999999961,35.91409999999962,36.740999999999985,38.50759999999963,41.5735999999996,44.40980000000076]",banana
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,6,9,Yes they were clearType here ...,8,TRUE,FALSE,"[0.9913000000008196,1.6789000000004535,2.1835000000000946,4.916599999999676,5.00640000000044,5.096800000000826,5.476199999999267,5.894900000000462,6.682699999999272,8.31780000000083,8.7151999999993,11.48840000000041,13.558500000000095,14.290800000000786,17.029199999999264,19.8016999999993,22.674900000000434,24.571199999999294,27.209500000000048,28.92940000000044,31.712900000000445,32.75159999999971,34.75659999999971,35.534300000000826,36.27959999999973,39.28280000000075,41.05709999999965,41.93209999999965,44.714300000000776]",banana
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,5,9,Yes they were clearType here ...,9,TRUE,FALSE,"[1.0640000000000782,2.0100000000001046,3.7783999999985554,4.679599999999709,6.372500000000059,9.318099999999731,12.054199999999355,14.996500000000083,17.883500000000026,18.726099999999633,19.581000000000017,19.86679999999899,21.73779999999897,23.791599999999676,24.47759999999971,25.152299999998945,27.071299999998928,27.830399999998576,30.560199999999327,31.424299999998993,32.53150000000005,33.22609999999963,35.924099999999726,36.72379999999896,39.53250000000003,42.612899999998604,45.52719999999931]",banana
5f21fe68039e0e45fabc19af,2023-07-12T14:17:10Z,same forest:fixed fruit,1,experimental,713.329999923706,ok,630,35,Male,White,United Kingdom,Win32,60.73858115,same forest,fixed fruit,4,9,Yes they were clearType here ...,10,TRUE,FALSE,"[1.1478000000007569,4.103800000000774,6.932000000000016,8.160000000000082,10.502300000000787,12.30380000000082,15.080700000001116,17.776300000000788,20.530200000001173,23.398500000000013,24.62280000000078,26.425400000000423,27.20820000000117,30.01940000000036,30.98810000000151,32.88540000000046,33.63270000000114,36.46870000000115]",banana
5f4917f6f1863a40483420a3,2023-07-12T14:17:46Z,same forest:fixed fruit,1,experimental,555.3989999294281,ok,582,31,Male,White,United Kingdom,Win32,59.90893841,same forest,fixed fruit,8,8,Very clear,1,TRUE,FALSE,"[0.9422999999970187,1.866899999998509,3.5361999999955316,4.25800000000001,5.130699999995528,5.742399999998511,8.577199999995528,9.665699999995539,11.437399999998519,13.031000000000006,15.738000000000014,16.884500000000003,18.786899999998525,19.471699999995536,20.434699999995544,22.030399999998522,24.882500000000007,27.645699999995543,28.607699999995532,31.41179999999703,33.83069999999553,34.687699999995544,37.71369999999554,39.87350000000001,40.55600000000001,42.18350000000001,43.046799999997035,45.0196000000015]",banana
5f4917f6f1863a40483420a3,2023-07-12T14:17:46Z,same forest:fixed fruit,1,experimental,555.3989999294281,ok,582,31,Male,White,United Kingdom,Win32,59.90893841,same forest,fixed fruit,8,8,Very clear,2,TRUE,FALSE,"[0.2790000000000106,1.110100000001495,2.6970000000000027,5.9140000000000015,6.8166000000015,8.578100000001484,9.539500000000004,12.394999999999996,13.997299999997026,15.206899999998498,17.810299999997014,18.683999999999983,19.479,21.127600000001493,22.743299999997006,24.867299999997,26.560600000001486,28.32719999999553,31.154899999998506,32.04719999999553,32.82660000000148,36.00019999999553,37.70839999999849,38.768600000001484,41.634899999998495,42.491899999998495,45.26229999999701,48.06669999999552]",banana
5f4917f6f1863a40483420a3,2023-07-12T14:17:46Z,same forest:fixed fruit,1,experimental,555.3989999294281,ok,582,31,Male,White,United Kingdom,Win32,59.90893841,same forest,fixed fruit,3,10,Very clear,3,TRUE,FALSE,"[1.1270999999940443,3.6877999999970257,6.396500000000003,9.3065,10.258499999999998,12.937599999994035,14.764899999998505,16.142199999995512,18.713699999995526,19.468799999997003,22.756599999994023,24.307199999995532,27.05769999999552,29.594499999999982,30.34219999999553,32.22319999999553,35.109299999997006]",banana
5f4917f6f1863a40483420a3,2023-07-12T14:17:46Z,same forest:fixed fruit,1,experimental,555.3989999294281,ok,582,31,Male,White,United Kingdom,Win32,59.90893841,same forest,fixed fruit,5,9,Very clear,4,TRUE,FALSE,"[0.16199999999997772,0.9842999999970061,2.5338999999985106,5.174099999994041,8.04179999999701,10.57959999999403,13.116399999998492,15.919799999996997,18.625399999998507,19.558599999994016,22.111999999999995,23.87899999999999,24.68679999999702,26.897999999999996,29.51169999999553,32.39019999999553,34.00449999999998,34.62969999999552,35.38279999999702,36.27509999999404,36.99309999999403]",banana
5f4917f6f1863a40483420a3,2023-07-12T14:17:46Z,same forest:fixed fruit,1,experimental,555.3989999294281,ok,582,31,Male,White,United Kingdom,Win32,59.90893841,same forest,fixed fruit,8,8,Very clear,5,TRUE,FALSE,"[0.6948000000044203,1.4583000000044422,2.235300000004429,2.9011000000014633,4.798999999999978,7.355700000002969,8.094600000001492,9.016100000001472,11.62289999999848,14.559200000002932,15.791499999999985,18.677800000004424,19.351100000001452,20.120499999999993,22.740499999999997,24.716999999999985,25.49389999999846,26.01930000000442,27.817700000002958,28.663600000001452,31.457300000004466,33.34230000000446,35.072600000001444,36.84489999999846,37.83089999999851,39.423,41.06970000000297,43.786]",banana
5f4917f6f1863a40483420a3,2023-07-12T14:17:46Z,same forest:fixed fruit,1,experimental,555.3989999294281,ok,582,31,Male,White,United Kingdom,Win32,59.90893841,same forest,fixed fruit,8,8,Very clear,6,TRUE,FALSE,"[0.8219000000059395,3.5494999999999663,6.315499999999986,9.213400000005947,11.918300000004479,12.745800000004465,13.542200000002993,14.258200000002944,16.905800000004433,19.041600000001495,21.67030000000443,23.598600000001454,24.227300000004448,24.862800000004484,26.68480000000443,27.356100000001504,30.122000000000014,31.6875,34.353999999999985,36.256400000005954,37.87950000000001,38.44160000000147,39.253499999999974,39.86310000000145,42.45090000000596,43.174499999999966,43.552400000005946]",banana
