participant,group,OS,fovealword,parafovealword,fovealcolour,parafovealcolour,correctcolour,parafovealpositionword,congruency,condition,block,gender,age,handedness,trial,rt,acc
15286,A,MacIntel,BLUE,LABEL,red,black,red,right,incongruent,foveal_unified,3,male,20,right-handed,34,0.302,1
15286,A,MacIntel,RED,LABEL,black,red,red,right,congruent,para_dis,3,male,20,right-handed,35,0.38114,1
15286,A,MacIntel,SHORT,RED,black,yellow,yellow,right,incongruent,para_unified,3,male,20,right-handed,36,0.286715,1
15286,A,MacIntel,YELLOW,SHORT,black,yellow,yellow,left,congruent,para_dis,3,male,20,right-handed,37,0.25964,1
15286,A,MacIntel,RED,SIDE,black,red,red,left,congruent,para_dis,3,male,20,right-handed,38,0.41444,1
15286,A,MacIntel,SIDE,BLUE,red,black,red,left,incongruent,fov_dis,3,male,20,right-handed,39,0.267035,1
15286,A,MacIntel,RED,LABEL,red,black,red,right,congruent,foveal_unified,3,male,20,right-handed,40,0.26941,1
15286,A,MacIntel,GREEN,MAIN,black,green,green,right,congruent,para_dis,3,male,20,right-handed,41,0.23554,1
15286,A,MacIntel,SIDE,RED,black,red,red,left,congruent,para_unified,3,male,20,right-handed,42,0.34953,0
15286,A,MacIntel,SIDE,YELLOW,yellow,black,yellow,right,congruent,fov_dis,3,male,20,right-handed,43,0.331675,1
15286,A,MacIntel,MAIN,BLUE,blue,black,blue,left,congruent,fov_dis,3,male,20,right-handed,44,0.381055,1
15286,A,MacIntel,GREEN,MAIN,green,black,green,right,congruent,foveal_unified,3,male,20,right-handed,45,0.302265,0
15286,A,MacIntel,MAIN,RED,black,blue,blue,left,incongruent,para_unified,3,male,20,right-handed,46,0.419615,1
15286,A,MacIntel,SIDE,BLUE,black,red,red,left,incongruent,para_unified,3,male,20,right-handed,47,0.34717,1
15286,A,MacIntel,LABEL,BLUE,green,black,green,right,incongruent,fov_dis,3,male,20,right-handed,48,0.42045,1
15286,A,MacIntel,SIDE,GREEN,black,red,red,right,incongruent,para_unified,3,male,20,right-handed,49,0.31943,0
15286,A,MacIntel,GREEN,LABEL,black,green,green,left,congruent,para_dis,3,male,20,right-handed,50,0.38338,1
15286,A,MacIntel,RED,MAIN,green,black,green,left,incongruent,foveal_unified,3,male,20,right-handed,51,0.33423,1
15286,A,MacIntel,GREEN,SIDE,yellow,black,yellow,right,incongruent,foveal_unified,3,male,20,right-handed,52,0.39661,1
15286,A,MacIntel,YELLOW,SIDE,yellow,black,yellow,right,congruent,foveal_unified,3,male,20,right-handed,53,0.322875,1
15286,A,MacIntel,MAIN,YELLOW,blue,black,blue,right,incongruent,fov_dis,3,male,20,right-handed,54,0.34893,1
15286,A,MacIntel,GREEN,SIDE,black,yellow,yellow,right,incongruent,para_dis,3,male,20,right-handed,55,0.488205,1
15286,A,MacIntel,BLUE,SHORT,black,blue,blue,right,congruent,para_dis,3,male,20,right-handed,56,0.36454,1
15286,A,MacIntel,GREEN,SHORT,black,blue,blue,left,incongruent,para_dis,3,male,20,right-handed,57,0.26743,1
15286,A,MacIntel,SHORT,BLUE,black,blue,blue,right,congruent,para_unified,3,male,20,right-handed,58,0.36565,1
15286,A,MacIntel,SHORT,GREEN,yellow,black,yellow,left,incongruent,fov_dis,3,male,20,right-handed,59,0.32147,1
15286,A,MacIntel,YELLOW,SHORT,yellow,black,yellow,left,congruent,foveal_unified,3,male,20,right-handed,60,0.350745,1
15286,A,MacIntel,SHORT,RED,yellow,black,yellow,right,incongruent,fov_dis,3,male,20,right-handed,61,0.29558,1
15286,A,MacIntel,LABEL,GREEN,green,black,green,left,congruent,fov_dis,3,male,20,right-handed,62,0.383525,0
