pp,Age,Valence,vidrep,mean_accuracy,mean_z_score,mean_rt
EPI_Y_17431,Age: young,Positive,Video repetition: 2,0.6666666666666666,-0.15687404987725184,3.062225
EPI_Y_17431,Age: young,Positive,Video repetition: 3,0.5454545454545454,-0.696975190973575,2.499433333333333
EPI_Y_17764,Age: young,Neutral,Video repetition: 1,0.375,-0.6896051508266925,2.1284
EPI_Y_17764,Age: young,Neutral,Video repetition: 2,0.5,-0.4208365712862227,2.3552999999999997
EPI_Y_17764,Age: young,Neutral,Video repetition: 3,0.6,-0.575890811311994,2.2244
EPI_Y_17764,Age: young,Negative,Video repetition: 1,0.16666666666666666,1.1018695062777888,3.6408
EPI_Y_17764,Age: young,Negative,Video repetition: 2,0.6666666666666666,-0.4240940133035708,2.35255
EPI_Y_17764,Age: young,Negative,Video repetition: 3,0.6666666666666666,0.4090412022970885,3.0559
EPI_Y_17764,Age: young,Positive,Video repetition: 1,0.4444444444444444,0.16884927318153625,2.853125
EPI_Y_17764,Age: young,Positive,Video repetition: 2,0.625,-0.23060195747309123,2.5159
EPI_Y_17764,Age: young,Positive,Video repetition: 3,0.5714285714285714,0.19280627856366928,2.87335
EPI_Y_17789,Age: young,Neutral,Video repetition: 1,0.7,-0.12408569148347393,2.1147142857142858
EPI_Y_17789,Age: young,Neutral,Video repetition: 2,0.6666666666666666,0.21185691294039877,2.29075
EPI_Y_17789,Age: young,Neutral,Video repetition: 3,0.625,0.30851623564154224,2.3414
EPI_Y_17789,Age: young,Negative,Video repetition: 1,0.7142857142857143,0.00241247727503846,2.181
EPI_Y_17789,Age: young,Negative,Video repetition: 2,0.8,0.5510710217287158,2.4685
EPI_Y_17789,Age: young,Negative,Video repetition: 3,0.5,-0.6260798611832029,1.8516666666666663
EPI_Y_17789,Age: young,Positive,Video repetition: 1,0.7142857142857143,-0.3143781953486498,2.015
EPI_Y_17789,Age: young,Positive,Video repetition: 2,0.7142857142857143,-0.79528933692196,1.763
EPI_Y_17789,Age: young,Positive,Video repetition: 3,1,-0.12277708973769612,2.1154
EPI_Y_17795,Age: young,Neutral,Video repetition: 1,0.875,-0.4524618584113759,1.9799
EPI_Y_17795,Age: young,Neutral,Video repetition: 2,0.7272727272727273,-0.30719550885784713,2.09615
EPI_Y_17795,Age: young,Neutral,Video repetition: 3,0.8,-0.00129269276577121,2.34095
EPI_Y_17795,Age: young,Negative,Video repetition: 1,0.75,0.5375361238147157,2.77215
EPI_Y_17795,Age: young,Negative,Video repetition: 2,0.6666666666666666,0.03313387007465662,2.3685
EPI_Y_17795,Age: young,Negative,Video repetition: 3,0.7777777777777778,0.5037343624777441,2.7451
EPI_Y_17795,Age: young,Positive,Video repetition: 1,0.8571428571428571,0.3596967892143455,2.6298333333333335
EPI_Y_17795,Age: young,Positive,Video repetition: 2,1,-0.636385569557306,1.8327142857142855
EPI_Y_17795,Age: young,Positive,Video repetition: 3,0.8,-0.24374691618188657,2.146925
EPI_Y_17813,Age: young,Neutral,Video repetition: 1,0.5555555555555556,-0.07873155898178577,1.7728
EPI_Y_17813,Age: young,Neutral,Video repetition: 2,0.7777777777777778,-0.4521637140520144,1.5807142857142855
EPI_Y_17813,Age: young,Neutral,Video repetition: 3,0.6666666666666666,-0.5488128215668437,1.531
EPI_Y_17813,Age: young,Negative,Video repetition: 1,0.6,1.7179975679045285,2.697
EPI_Y_17813,Age: young,Negative,Video repetition: 2,0.625,0.563207369494584,2.103
EPI_Y_17813,Age: young,Negative,Video repetition: 3,0.6,-0.48238970409376913,1.5651666666666666
EPI_Y_17813,Age: young,Positive,Video repetition: 1,0.6666666666666666,-0.3501914995619909,1.6331666666666669
EPI_Y_17813,Age: young,Positive,Video repetition: 2,0.5714285714285714,-0.29122073185418795,1.6635
EPI_Y_17813,Age: young,Positive,Video repetition: 3,0.75,0.1863776835375791,1.909166666666667
EPI_Y_17822,Age: young,Neutral,Video repetition: 1,0.4444444444444444,-0.5142734291448319,2.23205000025
EPI_Y_17822,Age: young,Neutral,Video repetition: 2,0.4444444444444444,-0.5857918796034293,2.20427499975
EPI_Y_17822,Age: young,Neutral,Video repetition: 3,0.5,0.02032322352990169,2.439666667
EPI_Y_17822,Age: young,Negative,Video repetition: 1,0.5,-0.6468175236443134,2.1805749995
EPI_Y_17822,Age: young,Negative,Video repetition: 2,0.8571428571428571,1.047201980749357,2.8384666663333333
EPI_Y_17822,Age: young,Negative,Video repetition: 3,0.5555555555555556,0.4756037033149141,2.6164799994
EPI_Y_17822,Age: young,Positive,Video repetition: 1,0.7142857142857143,0.5596491448283193,2.6491199988
EPI_Y_17822,Age: young,Positive,Video repetition: 2,0.875,0.04946888395063872,2.4509857144285716
EPI_Y_17822,Age: young,Positive,Video repetition: 3,0.8888888888888888,-0.6098995817357762,2.1949125005
EPI_Y_17865,Age: young,Neutral,Video repetition: 1,0.6666666666666666,0.11951374896184556,2.4817
EPI_Y_17865,Age: young,Neutral,Video repetition: 2,0.8,0.13355384794289565,2.4889625
EPI_Y_17865,Age: young,Neutral,Video repetition: 3,1,-0.8717269052613814,1.9689625
EPI_Y_17865,Age: young,Negative,Video repetition: 1,0.75,0.3612751779642845,2.6067555555555555
EPI_Y_17865,Age: young,Negative,Video repetition: 2,0.625,-0.02524667949957046,2.4068199999999997
EPI_Y_17865,Age: young,Negative,Video repetition: 3,0.75,1.3004608696811777,3.092566666666667
EPI_Y_17865,Age: young,Positive,Video repetition: 1,1,-0.46361352897055846,2.180066666666667
EPI_Y_17865,Age: young,Positive,Video repetition: 2,0.8333333333333334,0.25464668097911286,2.5516
EPI_Y_17865,Age: young,Positive,Video repetition: 3,0.8333333333333334,-0.00908485815959383,2.41518
EPI_Y_17894,Age: young,Neutral,Video repetition: 1,0.625,-0.36860613327170866,1.9738
EPI_Y_17894,Age: young,Neutral,Video repetition: 2,0.875,-0.27956827505510606,2.041
EPI_Y_17894,Age: young,Neutral,Video repetition: 3,0.75,-0.9709808099662736,1.5191666666666668
EPI_Y_17894,Age: young,Negative,Video repetition: 1,0.5,1.3849229360253552,3.29725
